6,Radio Swing," Neexistuje nahodou PDF(navod), kde by byly videt jednotlivy polozky infotainmentu?  Myslim konkretni obrazovky a radky a popis k cemu co je. V navodu auta je to poskakany podle jednotlivych funkci napric celym navodem. Chtel bych to mit pohormade, abych vedel co kde a co tam vsechno vubec je. Kdyz jedu autem, tak nemam cas se tomu venovat a sedet v aute a jen tak to prochazet taky neni ono. "
6,Lze nejak zaridit automaticke nastavovani jizdniho profilu (napr. sport) pod uzivatelsky profil? Pri kazdem startu se meni na NORMAL,"Podle me to nejde, je to silene, kdyz clovek jezdi po meste a casteji startuje. Start-stop jsem vyresil konektorem u zaporneho polu baterky. Cas od casu pripojim, aby se updatoval infotainment."
1,Vibrace v kabine (od motoru/prevodovky),"Zdravim vsechny, nikde jsem zatim nenasel nejake vlakno kde by se toto resilo. Mam Kodiaq 2019, 2.0 TDI 110kw, DSG7. Aktualne najeto 2500km. Zacinam mit vibrace ve volantu a v pace prevodovky, zaroven je to i citit v palubce a na podlaze u spolujezde (mirne i v pedalech). Neni to nic strasneho, ze zacatku ale vibrace nebyly temer zadne.Ted me uz proste prijde, ze je to mozna vic nez je zdravo a mam strach kam to az pujde. Zajizdel jsem na normal, v cca 1500km uz obcas sport a trochu auto projel, tankuji pouze lepsi naftu (verva diesel). Takze zajeti si myslim, ze bylo provedene spravne a podle manualu.Chtel bych znat i zkusenosti ostatnich, je to neco co maji vsichni?Pocitam tedy hlavne vlastniky dieselu, jelikoz jste u kodiaqu hodne ""nalepeni"" na motor.Pred objednavkou meho kodiaqu jsem jeste sedel v 2.0TDI 140kw a tam ty vibrace byly taky, asi jsem tajne doufal, ze to u meho auta s radnym zajeim bude lepsi."
6,Navigacni system Amundsen,Nevite jestli Amundsen z Octavie III pujde do Fabie III?
1,felda skube kolisajici otacky chcipa,"Asi rovnou vymenit klapku, respektive oba jeji potenciometry (to asi sam nezvladnes, takze celou klapu)."
4,Skoda Yeti  - clona proti namraze na predni sklo,Upraven nazev tematu - znovu ho jiz needituj!
1,Prvni vymena oleje - spatny olej v autorizaku?,"Pokud si myslis, ze udelas motoru bene, kdyz budes menit olej po 5000km, tak co sis objednal, to mas. 502.00 lze pouzivat s pevnym vymennym intervalem."
1,Nafta pri vstreku,"presne ten isty problem mam aj ja, nafta pri vstreku od vodicovej strany, kde moze byt problem? snad to nie je nic vazne a len nieco ako tesnenie"
2,Fabia III - Automaticke dalkove svetla (Front Light Assistant - FLA),"Pohode me to nevadi, otazka na ostatni, umelo by to i ty znacky?"
1,Jaky olej do 1.2 TSI (vymena oleje a filtru),"Sice nemam TSI, ale myslim, ze se tam leje Shell Helix a udajne polosyntetika na prvopocatku, pak uz je to na tobe. Ovsem v dnesni dobe mas v podstate jedno jakou znacku oleje zvolis, pokud splnuje predepsane ""pozadavky"" = na oleji je uvedeno napr. specifikace 502 00, tak ho tam klidne muzes nalit. V navodu myslim mas urcite ke svemu motoru napsanych vice specifikaci, takze plati, ze pokud tebou vybrany olej splnuje alespon jednu, je to v poradku. Ja jsem ted po vymene oleje (mam 1,4 benzin) a daval jsem tam ""plnou syntetiku Mobil Super 3000 x1"". Akorat si dej bacha, kolega ma stejnej motor jako ja a v autorizovanem servisu mu do motoru nalili polosyntetiku. Nevim jak dal to resil, ale byl pekne rozcilenej, ale to uz je z jineho soudku."
1,regulace turba,"Zadne lopatky na turbu se u tohoto motoru nenastavuji! Servomotor ovlada jen obtokovy ventil na vyfukove strane turba (Wastegate) a nic jineho! Chyba regulace turba take muze znamenat jen to, ze se namontuje podlozka pod ten servomotor, ktera vymezi jeho chod (pokud to jiz nemas provedeno). Ale tam je pak nutna zmena/prehrani sw rj motoru, pripadne vymezeni polohy. Ten servomotor snad doposud neexistuje jako oficialni nahradni dil, proto meni cele turbo. Ale kdyz pohledas, tak na foru nekde najdes (predpokladam, ze v sekci Fabia II, Motor 1.2 TSI), kde se da sehnat samostatne novy."
2,"Elektricke stahovani oken nefunkcni, zavady","Zdravim, mam feldu 1.6 r.v.1999 s el. stahovanim oken a mam momentalne  problem se stahovanim praveho okna u spolujezdce. Okno jsem stahnul dolu, ale nahoru se mu nechce. Pri sepnuti spinace ZAvrit necvaka v motorku tak jako u motorku ridice. Pri stisknuti Otevrit je slysitelne cvaknuti. Zkousel jsem prohodit kolebkove spinace ridice a spolujezdce ale stale stejne. Prosel jsem i elektroinstalaci az k ridici jednotce motorku a zda se vse O.K. Myslim ze bude problem v te R.J. Mate nekdo podobnou zkusenost ? ci radu jak na to ? Dikynevim jak tyhle felicie ale kamarad ma superba a tam je detska pojistka trak ji tam nemas zamcenou???? ale to by nedavalo smysl jelikoz to jde dolu tak je spatnej moturek dolu jde kvuli vaze okenka ale na horu nejde ze je okno ne nej tezky skus vymenit moturek."
1,DPF cleaner ?,Mas najazdene kolko?Lebo ani ten cleaner nebude uplna spasa.Toto je priklad spatneho vyberu motorizacie k stylu a potrebe jazdy.
3,Vymena lanovodu rucni brzdy,ahoj ako si to nakoniec urobil? Strihol si to alebo ako? Mam.ten isty problem.
6,Sparovani mobilu a obrazovky v kodiaqu,"Ahoj, kdyz mam Waze pres Android auto, tak na me mluvi anglicky, neda se to nejak prepnou do cz?"
