1,Tuha jednicka,"Dnes rano se mi stala neprijemna vec, prisel jsem k autu a moc mi nesla zaradit jednicka. Oproti jinym kvaltum musim vylozene pouzit silu. Vyrazeni je pak jeste tezsi. Zpatecka jde bez problemu. I ostatni kvalty. Nekdy mi pri vyrazovani prijde ze to brnkne o zuby. Nelibi se mi to. Urcite to dam do servisu. Ma nekdo predstavu co by to asi mohlo byt? Docela dost me to omezuje, denne najedu 200km."
4,Vysuvna dverna ochranna lista,potrebujem radu ohladne vysuvnej dvernej ochrannej listy. Na prednych pravych dverach sa mi zlomila. Objednal som si druhu. Ako sa meni. Len sa zasuva do toho vysuvneho drziaka vo dverach alebo inac. Pozeral som na dielensku prirucku ale tam je len vymena celeho mechanizmu. dakujem za kazdu radu.
1,Problem s emisemi,"Zdravim Vas.Mam nasledujici problem s mym up!em 1.0 MPI. Byl jsem na STK a k memu prekvapeni byl problem s emisemi. Technik rikal bud vadna lambda sonda ci katalyzator. Na aute jsem provadel nasledujici (vypisu, co by na to mohlo mit vliv):- 15. 8. 2017 proveden chip od Cimbu na 55 kW- 4. 10. 2017 vymena zapalovacich svicekJe pravda, ze v listopadu se mi pri jizde rozvitila oranzova kontrolka motoru (chybu z diagnostiky prikladam v priloze), pricetl jsem to horsi kvalite paliva a chybu jsem smazal. Od te doby se nic neobjevilo. I ihned po STK jsem to napichl na diagnostiku a bez chyby.Spotrebu paliva mam porad cca stejnou, zmenu vykonu motoru taky nepozoruju.Lze pomoci diagnostiky rozpoznat, zda je vadna lambda sonda ci neco jineho?"
2,Zapalovac vs 12V zasuvka - rozmery,"Celkem jsem byl prekvapenej, ze jsem objednal USB nabijecku do zapalovace a do moji FIII se nevejde, jelikoz jsem zjistil, ze je rozdil v rozmerech mezi zapalovacem a 12V zasuvkou.Nikde v navodu jsem nenasel, ze jsou to jine rozmery a na shopech si s tim taky nelamou hlavu a pisi, ze nabijecka je kompatibilni do vsech vozidel, do maji otvor pro zapalovac nebo 12V.Mate nekdo nejakou spolehlivou nabijecku, ktera pasuje do 12V zasuvky? Ja naletel u teto:Dale si chci jen overit, ze je 12V zasuvka trvale napajena a ze se sama po 30m neodpoji. A umi vozidlo odpojit zasuvku pri vybiti akumulatoru?"
1,Chiptuning,"Vse o Chipovanie techto motoru.Kde, u koho, za kolik a zkusenosti po Chiptuningu."
5,Hasiaci pristroj v Karoqu,"Hasiaci pristroj nieje v povinnej vybave, ale je odporucany vo viacerych EU krajinach.Vozite niekto v Karoqu hasicak -ak ano, aky a kde ho mate?Ma niekto tento drziak?"
1,Motorovy olej,"Co tam lit za olej? Ted tam byl 10W40, muzu to jen tak zamenit za 15W40 bez jakekoliv ujmy?"
1,Felicia 1.6 otacky,"Dobry den mam dotaz jaky jsou idealni otacky u felicia 1,6 ? Dekuji"
5,Dodelani prihradek pod predni sedadla,"Zkousel prosim nekdo dodelat prihradky pod predni sedadla ktere jsou v ""Simply clever paketu""? Stoji za to to dodelat? Slo by to dodelat do klasickych (ne sportovnich) sedadel? Pokud by mel nekdo objednaci cisla dilu a nejake fotky jak namontovat tak sem s tim . Predem diky."
2,"zapinanie stretavacich svetlometov, same od seba","nazdarte chcem sa spytat ci niekto nevie poradit ....niekedy ked auto iba necinne stoji na mieste, zapnu sa mi same od seba stretavacky...auto je v uplnom klude ...a nejdu vobec vypnut ...minule som musel odpojit bateriu a zapojit a uz sa vypli...ale stalo sa mi to znova a stacilo len nastartovat a zapol som ich  a vypol a bolo ...ale dnes mi to spravilo znova a nepomohlo ani ked som nastartoval nesli vypnut ...dali sa vypnut az ked som dosiel domov z roboty...a niekedy mi nesli zapnut dialkove, len preblikavali ....moze to mat suvis s luccasamy ? ...lebo som tam daval z druheho facka a zdaju sa mi viac dojebane jak tie pred tym, alebo to je nejake relatko ? ..dakujem"
1,Zapalovaci svicky.,"Skodovka dava do 1.2 Tsi zapalovaci svicky 04E 905 601 B pod tim se skryvaji svicky NGK PZKER7B8EHS, ale vsechny katalogy na netu zobrazuji jen svicku NGK PZKER7A8EGS..myslite, ze je mezi tim nejaky podstatny rozdil ?"
1,"Pro vsechny 1,8T - motor-problemy chodu - derava hadice odvetrani spodku motoru","VSEM co tady s turbem resi kontrolku motoru a dokonce i kontrolku ASR (zrejme kvuli zmatenosti tlaku v sani neni ASR schopno omezovat vykon...) , skubani, diru v tahu, chod na 3 na volnobeh bych doporucil aby prilozili sve velectene ucho k merce oleje (manicky pozor at vas neskalpuje altik) biggrin.gif a budou mozna prekvapeni jako ja - na auto 145 000km a 2003 bych problem v hadicich necekal a to uz je druha....Me se to chovalo stridave, je tam hromada hadicek a ventilu a podle toho jak je ten ktery otevren ci zavren to pousti ten falesnej vzduch ruzne jinam a podle toho i ty projevy jsou ruzny.....Tak dnes jsem se do toho pustil a zde je popis pro ty co to ceka. Timto zde dekuji vsem kteri zde uz o tomto problemu hadic psali a navedli mne tim spravnym smerem.1)sundejte dva plastove kryty motoru.2)odpojte od filtru vzduchu vroubkovanou hadici (husi krk) co vede od cerpadla pridavneho vzduchu. Je to rychlouzaver jenom ho zmacknete3)odpojte druhou vroubkovanou hadici co vede od cerpadla pridavneho vzduchu stejnym rychloupinakem vedle prestavovace vacky.Obe hadice zustavaji pripojeny k cerpadlu.4)Obe hadice jsou uchyceny vpredu pred sacim potrubim na cerny plech (zespoda jsou na nem hromady drobnych hadicek a ventilu) Povolte dve matky ktere drzi jednu z hadic a privazte si ji k vzpere kapoty5)cerny plech s hadickami a ventily vespod odsroubujte od saciho potrubi - dva zelene srouby na imbus6) odpojte konektor co vede k jednomu z tech ventilu na cernem plechu - je spise vlevo7)musite stahnout malickou hadicku ze saciho potrubi - je uplne vpravo na konci saciho potrubi. Je prilis kratka a nedovolila by vam pohnout cernym plechem a nikam by jste se nedostali8)vytocte cerny plech a odsroubujte jednu matku drzici druhou vroubkovanou hadici od cerpadla dodatecneho vzduchu - i tuto hadici si privazte ke vzpere kapoty. Obe maji tendenci se vracet na misto a potrebujete ziskat prostor pro ruce a taky tam videt coz je velmi velmi obtizne...8)ted uz muzete cerny plech dat dolu k filtru - zustane uchycen jen na asi trech hadicich vpravo... Muzete take zkontrolovat ty hadicky a ventily na tomto plechu, ale u AUM 2003 150 000km nejevily nejmensi znamky starnuti - asi by zde hrozilo neco jen u starsich aut.9)Na spodu saciho potrubi jsou dva naustky - presne vedle merky na olej. Z jednoho z nich vede jen hadice, z druheho spis trubka s nejakym ventilem. Obe dve jsou spojeny tenkou gumovou paskou po delce cca 5cm - asi jako by jste na ty hadice natahli 5cm duse z kola, Nemohl jsem najit zadnou prasklinu, nakonec jsem nuzkami odstrihl tuto paskua ta prosta hadice mela v miste styku s tou druhou puklinu taky asi 5cm. Je to hadice presne z toho sameho materialu jako je ona znama trhaci hadice co odvetrava viko ventilu. Tato hadice odvetrava spodek motoru. Jeji cislo je 06A103221BK. Vsechny ostatni hadice jsou u 6leteho auta ok. Prasklina v tomto pripade znamenala primou diru do sani kudy ufukoval vzduch natlaceny turbem - takze cidlo tlaku registrovalo nizsi tlak a zmatek v rizeni... Hadice ma vnitrni prumer cca 6mm a je na koncich 2x zahnuta. Rovnou hadici tam nedate, protoze vam bude pacit ventil a plastovou trubku s nim do strany a ta by casem timto vychylenim asi praskla. Da se to vyresit nejakou trubkou (med instalaterska) kterou naohybate a na konce date kratke kousky hadic jako prevlek z trubky na nahubek a zapaskovat.  Pozor na material hadice, nejaka potravinarska to asi dlouho neprezije.  Samo nejlepsi je pouzit origo, cenu podle stareho ceniku eur odhaduji na 800-1000kc. Pri rozebirani originalnich spon na hadicich velky pozor! Jsou to jednoduche spony ktere se zacvakavaji a utahuji specialnimi klestemi. Blbe se povoluji a pri pouziti nasili (kleste, sroubovak) hrozi ze vam praskne plastova trubka na kterou je ta hadice nasazena. Existuje vsak jednoduchy a elegantni zpusob jak sponu rozpojit bez nasili a prasknuti plastu - ostry nuz. Tim podeberete vrchni vrstvu te spony, nadzvednete ji a spona se rozpoji. sroubovak je uz moc tlusty, nedostanete se pod...Po vymene vse smontujete zpet, nezapomenout nic zapojit...Jak jsem videl stav vsech tech trubek u 2003 - vse v pohode az na tuto. Vsichni co tu u 1,8T resite kontrolku motoru a ASR, diru v plynu, cukave rozjezdy, vysoky ale stabilni volnobeh nebo naopak kolisavy volnobeh az se auto klepe a pod driv nez zacnete menit vahy a lambdy rozeberte to a jdete po teto hadici. Prave lambda vam bude hazet chybu protoze spalovani bude s falesnym vzduchem spatne. Take zde mnohokrat opakovana chyba nedosazeni plniciho tlaku nactena vagem... Bohuzel bez rozebrani ji nezkotrolujete, ale kdo ji nemenil a ma to nejaky patek bude nejspis spatna. Voditkem vam muze byt stav te horni hadice snadno pristupne, obe jsou ze stejneho matrose a obe plni fci odfuku mazaciho prostoru. Pristup je k tomu jak k penezum a videt je tam jak u proktologa... takze Enjoy  "
3,Letni pneu,"Zacinam pomalu uvazovat o nakupu letnich pneu.Nechci zadne papuce apod, ale zustavam u klasickeho rozmeru 195/65 R15obutych na elektronech sire 7palcu. docela se mne zalibila novinka od Barumu Bravuris 2 za cca 1450,-/ks podotykam,ze nejsem zadny zavodnik a najedu cca 15000 km/rok. co Vy na to. Dik Honza-Ororo."
1,skrtici klapka,"Ahoj ,menil jsem po bouracce skrtici klapku ,a po zapnuti zapalovani se ani nehne porad otevrena ,ma to tak byt (daval jsem uplne novou )? Nedelal jsem tedy zakladni nastaveni ,musi se pri vymene delat ? Porad to skace do nouzaku mohlo by to tim byt ? Je pravda,ze nemam do pondeli moznost diagnostiky ,ale treba se tu dozvim jestli mam hledat chybu jinde ,jen podotykam ,ze sviti kontrolka motoru a blika zhaveni hned po zapnuti klicku....dekuju moc za rady ..Pavel"
4,Tazne zarizeni - dodelavka,"Ahoj, nechaval nekdo dodelat tazne zarizeni? Pripadne, kde, za kolik a jaka je spokojenost? Diky."
1,Skoda Roomster nejde nastartovat - tlak oleje vypnete motor,"vcera som normalne jazdil autom Skoda Roomster 1.9. TDI, bez akehokolvek naznaku problemu, senzoru alebo niecoho. Dnes rano som chcel nastartovat, ale nenastartovalo to (akokeby to naskocilo a hned zhaslo) a tocila sa iba retaz, na palubovke svietila  na cerveno.Tak som zobral baterku a dal som ju nabit (bola pomerne vybita, tak som myslel, ze to bude tym kedze sa ochladilo), namontoval som ju teraz vecer naspat a skusam nastartovat a zase to iste (naskoci a hned zhasne a toci sa retaz dookola) a potom po par sekundach teraz vypisalo Tlak oleje - Vypnete motor a zaroven svietila kontrolka baterky na cerveno stalePritom predtym (a zda sa mi, ze ani teraz ked to vypisalo tak olejova kontrolka nesvietila).Viete prosim poradit co by to mohol byt za problem? Ale som laik, tak nejak jednoduchsie prosim, ci dokazem sam nieco skontrolovat, aby som vedel poradit technikom, alebo rovno odtiahnut do servisu a kolko bude stat cca odhadovana oprava (podla problemu, co s tym moze byt).Dakujem vam! vopred! "
1,2.0 TSI 140kW pri 88tkm motor K.O.,"Zdravim, chci se zeptat, u moji,zaplat panbuh sluzebni,octavie r.v.2018me nyni ceka asi vymenamotoru, motor postupne od ca. najezdu kolem 60tkm zacal bejt linejsi a postupne zacal zrat i olej ated na dalnici v nem zaclo rachotit a nasledoval odtah do servisu. V servisu motor rozebrali a zjistili podpalenej ventil na 3 valci, ale co bylo horsi, tak celej motor je totalne zakarbonovanej, technik se me ptal kde tankuju, mame firemni Shell karty, takze tam. Jezdil jsem s autem denne Plzen-Praha a zpet, sem tam nemecko..., tedy pouze po dalnici. Technik tvrdil, ze tohlejeste nikdy nevidel, ale mechanik mi bokem tvrdil, ze nejsem prvni s touhle vadou a jestli chci jezdit dalky, tak na to tenhle motor neni vhodnej, ma nejakou vadu a pri vyssich teplotach zde pry dochazi ke karbonizaci, nema uz neprimej vstrik ci co, mam si radeji poridit TDIcko. Je to na zaruku, takze motor asi bude novej, uz se to resi 14 dni. Chci se zeptat, zda nemate nekdo podobnou zkusenost u tohoto motoru? Diky"
2,Nefunguje ostrekovac celneho skla + svetlometu superb 3,caute chalani.kupil som superb 3 r.v. 2015 TDI DSG a nefunguje mi ostrekovac celneho skla+ostrekovac svetlometu packu potiahnem a ide iba sterac a voda nestrieka a motorcek nevrci.. AJ by som vymenil poistku ale nevie kde sa nachadzaju a neviem ani cislo poistky.....poprosim vas kde sa nachadzaju poistky a teda konkretne ktora poistka je na ostrekovacov celneho skla+svetlometu. Pripadne nejake rady ci tam nemoze byt nieco ine. Vodu som dolial az po vrchnak nadrzky Velmi pekne dakujem za kazdu radu.
6,Webove radio,"v navode k AmundsenAmundsen ma vlastni navod? Ja myslel, ze je jen ten v ramci navodu k celemu vozidlu."
4,Vymena narazniku za RS narazniky,"Premyslim, ze si koupim od Alesia predni a zadni RS naraznik na liftback O2 a chci se zeptat, zda z vas uz nekdo takovouto vymenu udelal a jestli s tim byli nejake komplikace pri montazi. Hlavne usazeni a zapojeni prednich mlhovek. Zadni naraznik asi tak problemovy nebude predpokladam... Na jak dlouho ta vymena casove vyjde asi? Nechal bych si to udelat v servisu, sam do toho rejpat nebudu."
1,Vstriky do SDI pro zvyseni vykonu,Zdarec potreboval bych pomoct mam octavii SDI a chtel bych ju nejak dostat aspon na normalni hranici vykonu potrebuju poradit jaky vstriky bych do toho nejlepe potreboval aby se nejak navysil ten vykon poradte diky cus.
2,"Vymena zarovek za LED  - mlhovky, zadni blinkr, parkovaci svetlo, 5. dvere","Jelikoz jsem zde nenasel podobne tema vyjma vymeny mlhovek za LED, dovolim si otevrit novy thread, snad se to nekomu hodi. Kdyz tak Pawouku ""trhej"".Docela mi trvalo, nez jsem nasel vhodne LED k vymene u sveho vozu (MR2017/ L&K), resil jsem az jsem poresil (a bez nutnosti kodovani) :1. mlhovky - spise s ohledem na cornering funkci - H8 - https://www.aliexpress.com/item/2Pcs-H8-H11-Led-HB4-9006-HB3-9005-Fog-Lights-Bulb-1200LM-6000K-White-Car-Driving/32822360175.html?spm=a2g0s.9042311.0.0.NiAfBc (2Pcs H8 H11 Led HB4 9006 HB3 9005 Fog Lights Bulb 1200LM 6000K White Car Driving Daytime Running Lamp Auto Leds Light 12V 24VSold By XSTORM Official Store )2. zadni parkovaci svetlo (puvodni proste sviti nejak malo, mozna i diky clone, co tam je) - https://www.aliexpress.com/item/2x-High-Power-S25-1156-BA15S-80W-P21W-CREE-XBD-LED-White-Red-Amber-Reverse-Light/32505126692.html (2x High Power S25 1156 BA15S 80W P21W CREE Chip XBD LED White/Red/Amber Reverse Light Backup Led Reverse Lamp Sourcing LightSold By MYXDEC Store )3. zadni blinkry - https://www.aliexpress.com/item/2pcs-Amber-Yellow-Error-Free-BAU15S-7507-PY21W-1156PY-LED-Bulbs-w-Reflector-Mirror-Design-For/32316963252.html (2pcs Amber Yellow Error Free BAU15S 7507 PY21W 1156PY LED Bulbs w/ Reflector Mirror Design For car Front Turn Signal Lights Sold By iJDM Store )4. osvetleni kufru / 5. dveri - https://www.aliexpress.com/item/2Pcs-12V-Car-LED-Courtesy-Door-Projector-Light-For-Audi-A3-A4-A6-VW-Skoda-Foot/32789695507.html (2Pcs 12V Car LED Courtesy Door Projector Light For Audi A3/A4/A6/VW/Skoda Foot Nest Lights Ghost Shadow Light Lamp 6500K White Sold By Kroak Winda Store)Co nechapu, proc to tam neda rovnou Skodovka...klidne i s jinou svitivosti, ale prekvapilo mne, jak hodne napr. hreje osvetleni 5 dverich - LED vubec, original zarovky resp. modul svetla se hreji pomerne hodne. Ostatni svetla (nehlasi chybu, takze budto mam stesti s LED paketem (zkusenejsi mohou rict) nebo ty LEDky maji v sobe rezistor), jsem nechal nejakou dobu svitit a nepozoroval jsem zasadni zvyseni teploty.Pro rypaly, kterych je na svete spousta - at si z toho kazdy vezme, co chce. Komu to nic neprinasi, at jde laskave dal."
5,Ramecek na 2din radio,"Cus, kdyz bych chtel do octavie 1 mrsknout tohle radio tak jaky k tomu potrebuji ramecek aby tam dobre sedelo? Je to spis na octavie ii Nevim podle ceho presne hledat nekde, tak proto sem pisu... Doufam, ze mi nekdo zvladne poradit. Diky"
