7,Oznamovna,"Sem davejte odkazy na zavadna fora, temata, ci jen prispevky porusujici pravidla fora. Tym A/M to tu bude monitorovat a problemy resit.Problemy s nastavenim fora se resi "
7,Zaslepeni EGR na FI 1.9TDi + koncern,"Pro ty co chteji aby jejich milacek lepe dychal Tento navod slouzi pro vozidla 1.9TDI s emisema EU 3 (vetsinou do rv. 2005), kde je mechanickej EGR ventil...u novejsich vozidel by po zaslepeni touto cesou palubni PC hlasil ""emise do dilny"" a byla by rozsvicena prislusna varovna kontrolka  - u techto vozidel se musi EGR resit softwarovou cestou K vecimaterial a nastroje: IMBUS 5,6 (nejlepe klasicke kratke klice a bity na sroubovak), klic 12"" , hasak popr. jine kleste, zaslepka nejlepe nerez 3 a vice mm siroky....dale vazelina odolavajici vysoke teplote, 2 nove matky 12"" (neni potreba ale je to rozhodne lepsi)....pak uz jen sikovne ruce 1.) otevrit kapotu a sundat kryt motoru2.) odpojit plastovou rouru od airboxu - pomoci stisknuti kovove svorky a vysunuti, dat si rouru stranou....rouru pred EGR taktez odpojit  - staci pouze odpojit nemusi se demontovat (viz foto. 1)3.) pod demontovanou rouru se pod sanim nachazi kovova trubka vedouci k EGR - povolit dve matky 12"" a dat si je stranou (foto 2)4.) ted demontovat trubku vedouci k ventilu EGR - odpojit dve hadicky ktere do nej vedou (jedna se pouze vytahne, u druhe se povoli svorka a vytahne se) - trubka je zespodu ventilu EGR prichycena 2 sroubky IMBUS 6 (velmi spatny pristuu) povolit je a dat si pozor aby nespadly do motoru....pak uz jen trubku pomalu vytahnout z motoroveho prostoru a dat si ji stranou5.) samotna demontaz ventilu: EGR je prichycen 3 sroubky IMBUS 5) jeden na levo, druhy napravo jakoby pod kovovou hlavickou samotneho ventilu, dalsi je pod EGR, za uchycenim demontovane trubky (proto se musela odstranit prvni) viz foto 3tak EGR je venku vycisteni: hrubsi necistoty jsem opatrne seskrabal tupym priborovym nozem a spejli....pak jsem ventil prostrikl cisticem na brzdy a poradne vydrhl rucne hadrikem....za par chvilek ventil jako novej PS: z venku jsem cepec ventilu vzal jemne silichromem zaslepeni: je potreba si predem pripravit zaslepku na EGR - nejlepe nerez material tloustka alespon 3mm (bohate staci), nejlepe aby kopirovala tesneni u trubky mezi EGR a sanimzpetna montaz + zaslepeni:obraceny navod + na trubku ktera je uchycena na spodek EGR ventilu se vlozi zaslepka z nerezu (nedavat na druhy konec trubky z duvodu vysokych teplot  ) PS: vsechny sroubky a matky je vhodne lehce potrit vazelinou....matky na trubce od EGR je vhodne vymenit Tak EGR je vycisteno zaslepeno...verim ze ai auto ulevilo a vy kdyz jste videli ten sajrajt ve ventilu take  Snad je to alespon trosku prehledny a uzitecny  V pripade ze tu jiz tento navod je omlouvam se a prosim adminy o smazani Informace cerpany z   zde je mozne najit dalsi informace v pripade nejasnosti...nebo napsat sem "
7,Kempy na Slovensku u termalniho koupaliste.,"Planuji prodlouzeny vikend nekde na Slovensku u termalniho koupaliste, vzdycky jsem jezdil do obce Diakovce jenze letos se tam chytli rekonstrukce bazenu takze maji zavreno. Chtel jsem jet uz tento prodlouzeny vikend, ale kam ted, babo rad.Diakovce je klidny kemp z celkem hezkym socialnim zarizenim, kemp je primo v arealu koupaliste.Nemate nekdo nejaky tip kam na Slovensko pod stan kde je termalni koupaliste???Diky za tipy. Fotky navic by byly super."
7,Rapid 136 nejede,"Prosim o radu,Rapidse po prijezdu na nakup uz nerozjel. Normalne dojel, potom uz nesel nastartovat, jen cvakal starter a nesel ani roztlacit. Zablokovany motor.Na neutral byl odtazen. V cem by mohl byt problem?"
7,Diskuze o CG na internetu,"Zdravim, snad me admin nezastreli, ale musim se podelit o jednu diskuzi na tema predjizdeni s malymi auty. Tenmikesh bude pravdepodobne pekny magor."
7,Hospodsky pokec v hospode,Tak co nekdy zajit do hospody ?Praha a okoli ?
7,Klic zapalovani - jak zanechat puvodni vzhled,"Obcas se stane, ze zamek zapalovani po dlouhych letech pouzivani prestane poslouchat, a treba koupit novy. Nove zamky se vsak dodavaji uz jedine s klici novych tvaru (ala Favorit), ktere se mne osobne nelibi. Nektere klicove sluzby vyrabeji i klice ""starych"" tvaru, a tak by se zdanlive mohlo zdat, ze si staci dat vyrobit kopii se starym tvarem a je to. Ale omyl. Stare klice meli jiny profil nez ty nove a tedy kopii stareho tvaru dokazou klicove sluzby vyrobit jen ze stareho klice.  Pokud nam tedy zustaly klice ze stare (napr. pokazene) zamky, rychlym resenim je jednoducha zamena plastovych hlavicek klicu nove za stare. Zdalo by se, ze je to nemozne, ale opak je pravdou. Teleso klice se da pomerne snadno vytahnout z plastove hlavicky kombinackami, a tato telesa jsou navzajem zajmenna. Vse dokumentuji fotky.nove / stare dilynovy klic se starou origo hlavickou"
7,Montaz otackomeru ll,"Ramecek pristrojovky ""znovuzrozeny"" podle popisu v clanku Montaz otackomeru sice svou roli splnoval dobre, ale i presto jsem se rozhodl zaexperimentovat se starym rameckem ""bezotackomerovej"" pristrojovky a vyrobit z nej ""otackomerovy"" ramecek.Nemel jsem co ztratit. Rekl jsem si, ze bud se mi to podari a pristrojovka bude vypadat krasnejsi, nebo se mi to nepodari a zustanu u ""starem"" ramecku.  Cilem bylo presne vyrobit 6 obdelnikovych der (3 vlevo + 3 vpravo) pro kontrolky, ktere se na puvodni pristrojovce bez otackomeru nachazely v kruhovem sdruzenem pristroje (na miste otackomeru).puvodni pristrojovka bez otackomeru s vyznacenymi misty pro budouci kontrolkyProtoze jsem nemel k dispozici nikoho, kdo by mi ""obdlznky"" mohl vyfrezovat, byl jsem odkazan jen na vrtacku, nuz a pilnik.  Prvnim krokem bylo presne narysovanem (jehlou) obdelniku pro budouci kontrolky podle originalni otackomerovej pristrojovky. Toleranci jsem si zvolil cca o 0,5 mm blize kazdou caru ke stredu obdelniku pro nasledne presne dobrusovani der. Vyvrtal jsem 6 co nejvet mozne velkych der az der pak nozikem ""vydlabal"" jako-takove obdelniky. To byla prvni faze prace.Druhou fazi bylo velmi presne obrusovani kazde z der (pouzil jsem maly pilnik na nehty - dobre se s nim pracuje) tam kontrolky presne sedli a byly v jedne rovine. Obrousit jednu diru mi trvalo priblizne 30 - 45 minut! Pri poslednich dvou jsem na to uz vubec nemel nervy a myslel jsem, ze to uz ani v ten den nedokoncim ... Nastesti jsem zustal chladny a podarilo se mi to dokoncit. Potesilo me, ze jsem to zvladl a 6 kontrolek v ramecku sedelo jako ulity :-)  Posledni fazi byla vyroba druhe vrstvy z 2mm plastove desky (zvlast pro levou a pravou stranu) s kulatymi dirami, ktere bylo treba nalepit zespodu ramecku, aby kontrolky nevypadavaly dovnitr a bylo jich o co upevnit (podobne jako je to i na original kontrolkovych ""dirach ""). Vyrobit to byla hracka.aketo ""plasty"" treba vyrobit a nalepit zospou pristrojovkyasi takove ""plasty"" je treba udelat pokud nalepit zespodu pristrojovkyTim byla ""nova"" pristrojovka hotova. Vyroba mi zabrala 2 dny. Vyhodou oproti memu staremu reseni je mnohem hezci povrch (original vs. Strikany) a lepsi pevnost rohu pristrojovky (original vs. Dolepovane).  Symboly na dolnich sesti kontrolkach jsem mel jeste ze stare verze skodovacky pristrojovek, tak jsem si nakreslil nove, vytlacil na samolepkovy papir a nalepil misto puvodnich. Nevidno rozdil. Kdo si chce moje symboly kontrolek (vsechny) stahnout, jsou zde.Zde je nahled kontrolek:Mou posledni upravou na pristrojovce byla uprava podsviceni pristroju. Teplomer, palivomer a otackomer svitily celkem dobre. Jen tachometr svitil velmi slabe - tak, ze na nem v noci nebylo nic videt (ma velke ""streva"").Vymenil jsem na nem puvodni 2W zarovku za 4W zarovku. Osvetleni se dost zlepsilo a ted mi sviti vsechny pristroje pekne a hlavne stejne.Se vsemi provedenymi upravami jsem velmi spokojen, a doufam, ze v blizke budoucnosti s pristrojovky uz nebudu muset nic delat ... :-)Rady na zaver  Pristrojovou desku s otackomerem mela jen mala cast produkce skodovek. Dnes je tuto pristrojovky velky problem sehnat, a sehnat ji v dobrem stavu je spise stesti.Pokud se rozhodnete postupovat podle tohoto navodu a nemate ani potrebnych 6 kontrolek, je mozne je sehnat napr. na vrakovistich z pristrojovek bez otackomeru (na barve sklicek nezalezi, daji se pouzit barevne sklicka z puvodniho sdruzeneho pristroje) a pak jen polepit spravnymi symboly jako jsem zrobil i ja, nebo se kontrolky daji koupit asi i jako nahradni dil v mototechnach ...zdroj navodu:"
7,Montaz otackomeru,"Montaz otackomeru byla v mem pripade dost nestandardni. Tedy ani ne tak samotna montaz, spise priprava na to vsechno. Pochybuji, ze bych nasel mezi lidmi jeste nekoho druheho, ktery by zrobil to, co ja  Puvodni pristrojova deska, standardni pro vybavy typu ""L"", tedy pristrojovka s kulatymi pristroji a se sdruzenym pristrojem s kontrolkami, byla podle me docela dobra. No otackomer je velmi zajimavy pristroj a proto jsem ho ""chtel"" i ja. Reseni s externim otackomerem jsem zavrhl hned. Jedinym moznym resenim pro me byla zamena plastu pristrojovky za plast pristrojovky pro otackomery, tedy za plast se zabudovanymi kontrolkami (puvodni ""diru"" od pristroje s kontrolkami nahradit telesem otackomeru). Nekdo to dela tak, ze necha puvodni plast a kontrolky vyvede nekde jinde. Ja jsem si to naplanoval tak, ze to bud zrobim original jak to ma byt, nebo to necham tak a otackomer nevybavuje vubec. Nechtel jsem to zrobit nijak ""fusersky"". Bud original, nebo nic.Take jsem ani nechtel menit komplet pristrojovou desku za nejnovejsi typ s hranatymi pristroji montovanou do ""lepsich"" skodovek od r.. 1987 a to ze dvou duvodu: 1. mel bych potom zmeneny stav pocitadla celkovych kilometru na tachometru. 2. tato pristrojovka se mi vubec nelibi. Je sice pravda, ze sehnat tuto pristrojovou desku by byl mnohem (!) Mensi problem (tusim stale vyrabeji do novych S1203), jak sehnat jen plast, ktery jsem chtel ja. No proste jsem tu nejnovejsi nechtel  Samotny otackomer mi lezel doma uz ctyri mesice. Ten dnes neni problem v nouzove situaci napr. ani koupit v obchode (stoji vsak az kolem 1200,-Kc). Problemem bylo sehnat plast pro otackomery. Shanel jsem ho, kde se jen dalo. No neuspesne. V jednom autoservisu jsem ho uz i mel vyhlednuty, ale ochotni tam vuci mne velmi nebyly: (. Nakonec se mi ho vsak po dlouhe dobe sehnat podarilo! Byl vsak v dezolatnim stavu. Jiny na mem miste by ho rovnou hodil do kose. No ja ne  Vzdyt posudte sami, jak vypadal:vsechny rohy byly povylamovane (asi se nekdo nastval a vytrhl to bez vysrobovane   a navic to bylo cele natrene nejakou pochybnou zlutou barvou (kdyby aspon nejak poradne nastrikane, ale jeste tam byly i otisky od prstu - nechtelo se mu cekat nez to uschne: ) - proste hruza podivat. Na teto fotce je jiz ta zluta barva jako tak vybrousena.A tak jsem se pustil do opravy, do rekonstrukce: dolepit, doladovat, brousit, stelovat ... Proste miniaturni (psychicky narocna  prace s plasty. Oprava zabrala asi 2 tydny (samozrejme ne 2 tydny nonstop . A tady je vysledek:opraveny plast spolu s kontrolkami a otackomeremSice jsem to opravil, ale jeste to bylo treba povrchove upravit, protoze to bylo cele zbrouseny. Chtel jsem mit na tom povrch takovy, jako mel byt, tedy takovy ""bodkato drsny"". No nevedel jsem jak a komu to dat zrobit. Nakonec jsem si vzpomnel, ze i kdysi davno v podnicich Tesla, kde pracovalo tehdy strasne moc lidi, se delavaly takove upravy. Muj otec si takto upravoval ruzne krabicky atd.., Co si vyrabel. Tak jsem se obratil na nej a on mi dal plast upravit na ""bodkato"" hned jednomu znamemu. Takovy byl (jiz konecny) vysledek:Jeste jsem si prichystal potrebne kabely, koncovky a druhy den jsem se dal na montaz do auta. Navodu je na ruznych serverech o skodovkach dost, ale vetsinou jsou jen velmi strucne. Podle nich jsem si to predstavoval tak na hodinku - max. dve prace. Mne to trvalo 5 hodin, a to od obeda az do tmy. Duvody vysvetlim v textu"
7,"Decentnejsi pohyb pacek ovladani topeni (palubni deska ""L"")","Standardne se pri pohybu packami topeni (nahore - dole) vytvari efekt ""rozhejganosti"" - krome samotnych pacek se kyva do boku i cela konzole ve stredovem panelu (vypoukly obdelnik, obr. 1), ve ktere jsou packy uchyceny. Vim, ze tento ""problem"" trapi asi tak 0,001% skodovkarov, me netrapil take (a ani jsem se nad nim nikdy nezamyslel). No jednoho dne se mi utrhlo lanko ovladani tepleho / zimniho vzduchu a kdyz jsem ho vymenil a cele to pak zpet poskladal, zdalo se mi, ze to jde nejak divne - samozrejme to ale slo stejne jako i predtim, jen se ve mne objevil pocit , ze tam ta konzola pri pohybu ""lita"". To je uz jednou tak, o cem clovek nevi, to mu ani nevadi.Stredovy panel je k palubni desce prichycen dvema srouby zespodu. Staci je vysroubovat a panel je ven. Ja mam na techto sroubech prichycen i drzak autoradia, takze nejdrive jsem musel demontovat radio.Samotna konzola s packami je k panelu prichycena jednim sroubem (nahore) a zahaknuti (dole). Mezi konzolou a panelem je po stranach vule, proto to neni pri pohybu packami pevne. Podle mych informaci se u prvnich skodovek 105-120 packy pripevnovali dvema srouby (nahore a dole) - tehdy to bylo mozna pevnejsi, ale pozdeji se pry zacal pouzivat zminovany jednosrobovy system - pry kvuli bezpecnosti - pri narazu se to lepe utrhne a tim pry packy neohrozi cestujicich, coz je podle me takova ""blbostka"", a pokud to i tak funguje, je to jen miliontina z dulezitosti z bezpecnosti pri narazu.  Na upravu jsem pouzil jednoduche reseni a to takove, ze na panel ze zadni strany jsem po bocich tesne ke konvexnimu krytu pacek pro zamezeni pohybu prilepil plastove desticky tloustky cca 1mm (nejlepe je pouzit trichlor, ktery povrch obou stran plastu rozlepta a po odpareni a zatvrdnuti je to dostatecne pevne) - obr. 2.Kdyz jsem uz delal s tim stredovym panelem, tak jsem zaroven i vycistil a vylestil cisticem kovu uz trochu zasly nepouzivany popelnik (prave proto, ze se nepouziva - at je aspon pekny). foto:  Nakonec jsem jeste vsechny lanovody a ventily topeni dobre naolejovat (nejlepe olejem ve spreji - napr.. WD-40) a zpet cele poskladal.  Upravou jsem docilil to, ze pri pohybu packami se hybou opravdu jen ty packy a nekyve se s nimi cele auto. A navic bezpecny system s jednim sroubem zustal zachovan.Promastene lanovody jdou lehce a po uprave i ""decentne"". A vyuzil jsem i trochu ten nekonecny zimni cas. Prece jen potesi i takovy detail.foto z montaze:zdroj navodu:"
