3,Cvakani podvozku u Rapida,"Dobry den, chtel jsem se poradit o radu u meho auta. Predem chci napsat ze mi menily stabilizatory, gumky na stabilizatorech, cepy, dorazy na tlumicech vsechno na obou stranach, tlumice jsou v poradku.. Mam problem vtom ze nikdo neni schopny mi to opravit.. Vzdy reknou vsechno je v pohode to auto je jak nove... Ale vzdy jak zatocim do leva nebo do prava tak mi to udela takovy cvaknuti je to slyset u praveho kola a aj u leveho kola.. Projizdel jsem se stim hodne servisu a vzdy ze nic neslysi... Minuly tyden jsem byl ve skodovce.. Pan mi rekl ze to slysi ale ze nevi co by to mohlo byt... Podotykam jedna se o skoda rapid 1.2 tsi 63kw rok vyroby 2014.. Prosim jestli mate nekdo zkusenost tak prosim napiste. Byl jsem na STK na tech triskacech a tam ze ty gumky na stabilizatorech tak jsem to nechal vymenit a dela to porad.. Mozna ze tu byl uz stejny problem ale nejak jsem to nenasel.."
3,Odhlucnenie podvozku/ podlahy/ kolies/ podbehov,"riesil uz niekto odhlucnenie?? rozmyslam nad izolaciou z vnutornej strany plastovych podblatnikov, aby to trochu stichlo od kolies.. ma niekto skusenost ci to pomohlo? pripadne co to stoji a co ste pouzili za material, dik za rady/navrhy."
3,Prilisna tvrdost podvozku,"Ahoj, zdravim vsechny v novem roce.Nejsem obvykly prispevatel fora. Vetsinou jen ctu a beru si inspiraci. Potrebuji ale poradit od zdejsich uzivatelu a vlastniku rapida, protoze uz jsem trochu zoufaly.Mam rapida 01/2013. Jedna se o 1,2 TSI 77kw liftback. Obuto mam v lete na original litych kolech pneu 215/45 R16. Pres zimu mam neorigo lita kola a pneu 195/55 R15.Dlouhodobe me trapi, ze se mi zda podvozek strasne tvrdy. Kazda nerovnost je hodne citit. Z klasickych okresek, kde se pohybuji nejcasteji jsem priserne vyklepany. Pres leto je to desne a pres zimu pozoruji mirne zlepseni kvuli jinym pneumatika. Ale stejne to stale neni ono. Komfort jizdy nic moc.Moje pocity jeste umocnilo druhe auto do rodiny, coz je Citigo taktez z roku 2013 ze ktereho mam daleko lepsi pocit. Nerovnosti, diry a celkove jizda na okreskach je s tim daleko pohodlnejsi. A to je auto uplne jine kategorie a ceny.Popravde premyslim, ze se rapida kvuli tomuhle zbavim. Ale chci mu dat jeste sanci, protoze jinak mi ostatnim plne vyhovuje. Poradite prosim jestli je tu nekdo, kdo resil podobnou vec, co by mohlo pomoci?1) jina kola - premyslel jsem, ze koupim klasicke 15tky 185/60, ale nevim jestli to bude mit nejaky efekt, takze nevim jestli cpat penize do cele sady.2) docetl jsem se, ze rapidy v roce 2014/2015 prodelaly nejake upravy na podvozku - dokaze mi nekdo napsat na jake presne dily bych se mel zamerit? Jsou to jine tlumice, pruziny? Pripadne neco dalsiho? Dokazete mi nekdo napsat jake presne tlumice a pruziny mate na novejsich rapidech, kde neni podvozek tak tvrdy? Vsude se pise jen o jinem naladeni podvozku ale konkretni dily jsem nikde nedohledal.Diky moc"
3,Vydrz brzd,"Ahoj, mam rok vyroby 2013 (Toledo) a najeto 90tis. a uvazujio vymene desticek i kotoucu na obou napravach. cena v autorizaku cca 9300. Chtel jsem se zeptat, kolik vydri brzdy ostatnim, jestli uz nekdo menil a prip. za kolik."
3,vymena oleje v posilovaci rizeni,"ma smysl delat vymenu nebo to vydrzi do konce zivotnosti auta ? zajimalo by me, kdyby se to vymenilo, jestli by se ztlumilo to mnoukani pri toceni kolama na miste nebo pri nizke rychlosti. jelikoz planuju vymenit baterii ( mam porad puvodni exide 36ah z vyroby ), tak se alespon podivam, v jakem stavu je napln, nadobka je totiz chytre schovana pod deskou, ve ktery sedi autobaterie...rapid 1.2 tsi 77kw, cbzb, 2013, 122 xxx km"
3,Pneumatiky R17,"V TP mam zapisany rozmer kolies215 40 R17.Chcem sa opytat ci mozem dat gumy 215 45 R17.Nebude to problem? Nebude to niekde suchat,driet a podobne?Mam Rapid 1.6tdi 66KW rv 2015"
3,Skubnuti pri seslapnuti plynoveho pedalu,"Pozoruji u sveho auta nasledujici neprijemne chovani - kdyz pozvolna pustim plynovy pedal a pak jej opet normalne seslapnu, tak to s autem mirne skubne.Zadne slapani na spojku nebo nejaka dlouha prodleva. Proste pustim plyn, seslapnu plyn, a ucitim cuknuti.Setkal se s nekdo z vas s necim podobnym?Hledal jsem na foru, ale nic relevantniho jsem nenasel. Napadla mne dvouhmota, ale vlastne si ani nejsem jist, jestli ji tohle auto vubec ma."
3,Kontrola tlaku v pneumatikach - TPM,"Pouzivam svojho rapida prvy rok. Pocas leta som s tlakom v pneu nemal ziadny problem (v lete mam R17). Zaciatkom mesiaca som prezul na zimne pneu (R15). Pred 2 tyzdnami som siel z Brna do Nitry a prechadzal som cez Pezinsku babu, boli sme viac nalozeny a v jednej zakrute mi vyskocila kontrolka tlaku v pneumatikach, zastavil som, tlak som skontroloval a pokracovali sme dalej. Od tej doby nic az na dnes, ked som siel len par km z domu do prace uplne sam bez batoziny. Rano bolo -0.5C a na rovnej ceste zas vyskocila kontrolka senzoru tlaku v pneumatikach. Prisiel som do prace a na oko pneu vyzeraju ze drzia, pockam a ked pojdem z prace opat skontrolujem tlak v pneu. Chcem sa spytat je to bezne? Cesta mohla byt troska primrznuta, alebo pneu nebola zahriata? Pneu vyzeraju ze trzia tlak ale pre pokojne soferovanie sa spytam Vas.PS: Samozrejme po vymene za zimne som ulozil nove hodnoty zimnych pneumatik. Podrzal som prislusne tlacidlo po dobu kym nezhaslo.Dakujem za rady "
3,Prehrdzaveny vyfuk_Vymena origo/nahrady,"na rapidecke 1.2 tsi 63kw po 7 rokochprehrdzaveny koncovy tlmic vyfuku.Hladal som diely a nasiel som len original (250)alebo polsku nahradu (25). Nic medzi a rozumnejsie. Asi bude treba nahodit univerzalny. Mate nejake skusenosti, odporucania? Dakujem."
3,Rok stare auto - tuzsi rizeni,"Koupil jsme novy Rapid-liftback(Style+) v rijnu 2019 za 350tisic a v te dobe jsem dostal novy sluzebni Rapid(Ambition). Muj soukromi ma tuzsi rizeni, ktere jde poznat hlavne pri mensich rychlostech na parkovisti atd. Hlavni rozdil me napadaji pneu, kde ja mam 16"" a sluzebni klasika 15"". Oboje pneu dofouknuty na tlak dle stitku na nadrzi. U tech 16"" jsem dal 2,1. Samozrejme mam zaruku, ale nez budu nekde prudit, tak jestli by to nemohla byt nejaka blbost."
3,bouchani pri toceni volantem,"Zdravim, mam Rapida r.2016,1.2 l, 81kw benzin. najeto cca. 48tis. Chci se zeptat na radu co by mohlo zpusobovat bouchani pri toceni volantem jak je slyset na videu. Dela to jen nekdy, prislo mi ze kdyz auto dyl stalo a po ujeti nejake vzdalenosti to prestalo. Vetsinou to delalo kdyz jsem stal na miste a tocil volantem jako by tam byla nejaka vule, nekdy to udelalo i pri jizde. Chci se na to zeptat v servise ale je mi jasny, ze kdyz tam dojedu tak to delat nebude a nejsem si jistej jestli me se soukromym videem neposlou do haje. Diky za ruzne rady a napady. ;-)"
3,Parkovani v kopci v zime,"Zdravim, takovy blby dotaz, tuto zimu budu muset parkovat v celkem slusnym kopci, stupen nebudu odhadovat, ale je to takovy kopec, ze auto urcite nechci nechavat brzdene pouze zarazenym rychlostnim stupnem, je sance, ze az bude mrznout, tak neodbrzdim rucku ? mam pod kola hodit cihly a nechat to jen na zarazene rychlosti ? ( to se mi nechce, aby se nestalo, ze pujde okolo nejakej kreten a ty cihly mi z pod kol nevytahne a jeste mi je nahazi do oken :D )"
3,Volant nakrivo / geometria,"Zdravim mam mensi problem a neviem ci to mam riesit alebo nechat tak.Po prezuti na letnepneusom zistil, ze mam volant mierne pootoceny do lava no auto samovolne ide rovno samozrejme dokial volant nevyrovnam. Zimnepneu boli 185/60 R15 plech a letne som dal teraz prvy krat sirsie 215/45 R16 elektron. Vsetky pneu nafukane na rovnakytlak.Dnes som skusil dat naspat zimne pneu a zistil som, ze to robi aj na nich ale asi o 40%menej zrejme pretosom si to vsimol az po prezuti to pripisujem uzsim gumam. Zatial nieje vidnozeby bola niektora strana pneu viac zjazdena. Silentbloky na napravach vyzerajubyt v poriadku auto ma najazdene cca 30 000 km. Je pravda ze po zime suu nas dostrozbitecestykde som trafil aj nejake jamy. Nieje to nic hrozne s tym pootocenim volantom (cca 1-2 cm na bokoch) no na dialnici to dost vidno. A preto neviem ci to mam dat opravit alebo nechat tak lebo na OI som mal podobny problem a ani po geometrii v SA som nemal volant rovno vyhovarali sa rozne veci. Volal som aj teraz do Skody (uz inde ako predtym)tak sa som sa zatial objednal ze sa musia na to pozriet.Mal niekto podobny problem, nebolo by lepsie aj nieco vymenit,alebo staci to nastavit?"
3,Asistent rozjezdu do kopce,"Kluci nevim jestli se to tu resilo,koupil jsem rapida a zajimalo by me jestli tam mam asistent rozjezdu do kopce .Jestli to zjistim podle kodu v servisni knizce,nebo jakym zpusobem diky."
3,"Rozperacia packa, bubnove brzdy.","Zdravim, chcel by som vediet co sa da nastavovat, alebo aky ucel ma taka zubkovanaa matica na rozperacej packe,cim mazete vodiaci kolik kotucovej brzdy a aku brzdovu kvapalinu pouzit pre vymenu, skoda rapid 1,2 mpi"
3,Rapid SB - hromada necistot v zadnim narazniku od kol,"Hledal jsem na foru a nenasel jsem, tak zalozim nove tema.Vsiml jsem si u Rapida SB vpodst. hned od noveho vozu, ze zadni kola hazou spoustu spiny ze silnice dovnitr do narazniku za kolem. Nemam zadni zasterky a ani nehodlam jimi auto prznit. Kola R16. Kdyz tam pri myti strcim hadici, nestacim se divit so vytece bordelu, tlaci se ven i sparami okolo zadnich odrazek. Ted v zime je naraznik za koly plny slane brecky (nejde o podbeh, ale o dutinu uvnitr narazniku za nim).U zadneho jineho auta (ruzne Fabie i Combi, Roomstery, Octavie) jsem se s tim takhle markantne nikdy nesetkal. Neresil uz nekdo tento problem? Ja asi zkusim na jare az pujde auto na letni gumy ty mista v narazniku za koly nejak zakryt (neco trochu na zpusob krytu co ma treba nase Octavie II Combi). Mam nejake zbytky stresni mPVC folie - ta jde pekne rezat a tvarovat, je odolna proti povetrnosti. Mam trochu obavu z koroze plechovych dilu karoserie pod naraznikem a koroze ramu tazneho zarizeni co tam je. Nemeli jste uz nekdo na Spacebacku dole naraznik po par letech provozu jak to tam vypada?"
3,Snehove retezy,"Nevite nekdo, jestli jdou na rapida dat retezy na 17tky kola?"
3,Tlumice a pruziny,"Zdravim chci se zeptat, zdali jsou schodne tlumice a pruziny z rapidu 2013 napriklad s tlumici octavia ( dle etky vypadaji stejne jako z o1 rs, ale 100% nevim) nema nekdo zkusenost ?"
3,Horni ulozeni prednich tlumicu,"V jakem stavu mate ulozeni prednich tlumicu? Tohle jsem mel uz na OI, ze jedno luzko bylo v karoserii hodne nakrivo, nepamatuju se ale jestli leve nebo prave. Tady je to horsi vpravo. Hlavne je vetsi ta mezera mezi dorazem a karoserii, takze pravy bok je vpredu niz. A ted jestli je to od vyroby, otlacene casem (autem parkuju na ulici s dost velkym spadem k obrubniku) nebo je to po tom lonskem nakopnuti kol, kdy prava strana sla natvrdo na dorazy. Kazdopadne tohle muze byt taky pricinou proc mam porad vpravo spatne odklon.....Mohli byste nekdo vyfotit svoje auto, jak to mate vy? Staci odklonit plast torpeda a sundat plastove krytky."
3,"Vzadu Bubny/kotouce, proc?","Zdravim vsechny. Snazil jsem se najit relevantni odpoved, ale nepovedlo se.Mam Rapida 1.6 Tdi 77KW ve vybave Ambition plus a do toho jeste Fresh a vzadu bubny. Kdyz jsem studoval servisni manual, bylo u teto motorizace uvedeno, ze auto ma kotouce. Nevite podle jakeho klice se urcuje cim vzadu brzdite??? Prijde mi absurdni, ze u nejsilnejsi naftove varianty nejsou kotouce....Predem diky za vysvetleni "
3,Letne pneumatiky na Skoda Rapid,"Ahojte, poradte prosim. Presiel som na 17"" elektrony. Chcem kupit letne pneu 215/40 R17. Mam rozpocet do 250. Dobre znackove pneu su velmi drahe tak som sa vybral inou cestou a mam dilemu ci kupit jazdene jednu sezonu Dunlop za 200 alebo jazdene Continental za 220? Je tu este moznost novych Matador MP46 Hectorra 2 za 250. Poradte, lebo lacnu cinu urcite nechcem. Vdaka"
3,Zvuky od podvozku,"Zdarec, nevim kam to strelit tak jsem zalozil zase takovy univerzalni topic.Posledni dobou registruju nasledujici:Vzdy jen pokud auto stoji delsi dobu (pres noc/pres den), idealni situace je, ze se rozjizdim dozadu pri rejdu, spise razantnejsi rozjezd (klasicky kola doleva pri couvani) - neco vpredu od pravyho kola lupne, puvodne jsem myslel ze jsem si jen vystrelil do podbehu kaminek, ale stalo se to druhy den a dalsi a dalsi  Nikdy se mi to nepodarilo zopakovat takze asi zalezi na zahrati auta.Dnes se mi to rano stalo i pri vyjezdu vpravo dopredu, tentyz ale slabsi zvuk od levyho kola.Nekdy to proste je slyset nekdy ne. Zkusim to jeste nekdy po ranu na miste.Ve volantu nic citit neni, zadne problemy s rizenim ani jine zmeny nepozoruju.Kdyz se rozjizdam pekne pomalinku a pomalinku zatacim tak nic.Setkal se s tim nekdo? Za 10 dni jdu na servisku tak se fakt tesim jak jim to tam budu vysvetlovat:)EDIT: najeto 25 tis km. no tady na foru jsem v sekci fabia zjistil ze se muze jednat o malinkou vuli nezahrateho loziska kola (nevim jeslti je to na zaruku), nebo pruzina a jeji ulozeni... na to lozisko se pry vydal i nejaky pokyn od automobilky, tak uvidime:)"
3,Zimni kola - plechace nebo ALU ?,"Pomalu zacinam resit zimni obuti pro sve Rapid priblizovadlo. Jelikoz jsem nejlevnejsi plechac (5x100 6J R15 ET38) nasel asi za 1050 Kc a urcite bych k plechaci chtel alespon poklice, premyslim, ze by se uz dalo koupit na zimu i ALU kola. Nejsem v tom ale zadny odbornik a nevim jestli to neni blbost (nikdy jsem nemel na aute ALU kola az nyni s Rapidem). Poradite mi? Dekuji za pomoc"
3,Zimni pneumatiky na Skoda Rapid,"Dobry den daji se tyto zimni pneumatiky 195/55 R15 pouzit na skoda rapid? Pokud ne jake jsou urcene rozmery dekuji jedna se o tento model skoda rapid 1,2 tsi 63KW"
3,Roztec sroubu kol,"Nevite jakou bude mit Scala roztec sroubu kol? Jestli 5x100 (jako Fabia & Rapid), nebo 5x112?"
3,Losi test (test sability podvozku),Scala si vede docela dobre + na konci videa je porovnani Sport a Normal nastaveni podvozku
3,Volant natoceny do strany - geometrie,"Cau chlapi, tohle tema sem nenasel, tak zkusim tady. Mam Scalu, najeto asi 5000 Km, vsechno v pohode, akorat mam pri jizde rovne volant natocenej do leva.Nevsim jste si toho nekdo? Ve Skoda servisu mi rekli, ze to nic neni, ale nic prijemneho to neni."
3,Srouby se zabezpecenim proti kradezi,Srouby se zabezpecenim proti kradezi (neuzamykatelne) se davaji vsechny nebo vzdy jen 1 sroub na kolo a zbytek normalni? Diky.
3,Na prani sportovni podvozek s vyberem dvou nastaveni,"Jiz standardne dodavany podvozek dodava novemu vozu SKODASCALAvelmi jiste a dynamicke jizdni vlastnosti. Jeste vice moznosti individualizace a sportovniho charakteru umoznuje novy, na prani dostupny system Sport Chassis Control.Podvozek, ktery je o 15 mm nizsi, nabizi krome rezimu Normal take rezim Sport s tuzsi charakteristikou tlumicu, ktere jsou elektronicky ovladane ventilem.To umoznuje sportovnejsi jizdu a intenzivnejsi kontakt s vozovkou. Ridic muze prepinat obe nastaveni v menu volby jizdniho rezimu Driving Mode Select, ktera je dodavana spolecne se systememSport Chassis Control.Volba jizdniho rezimu Driving Mode Select take ovlivnuje reakci volantu, motoru a prevodovky a umoznuje prepinani ctyr rezimuNormal, Sport, Eco a Individual.Jsem zvedavej jakej ten podvozek bude..."
3,1.0 TSI 85 kW  vs 18 kolesa,Zdar aky mate nazor na kombinaciu1.0 TSI 85 KW a 18 palcovych kolies. Je to pre tento motor prilis vela alebo mate dobre skusenosti ?
3,Mereni tlaku v pneu - prehozeni na zimni sadu,"Scalu Ambition 70kW jsem koupil na discich s letnimi pneu a nyni jsem si na zimu koupil diskyDEZENT TZ 6X16 5X100 ET35 57,1MM a pneu CONTINENTAL WINTERCONTACT TS 860 195/60R16 89H. Ted me kamarad vydesil, ze snad budu muset jeste kupovat nejake snimace tlaku v pneumatikach. Muzete mi nekdo ""polopate"" vysvetlit jak to je a zda me tedy zitra v pneuservisu kola prezuji nebo poslou neco dokoupit? Diky."
3,Spodni kryt motoru z paketu pro spatne cesty,"Dalo by se do Scaly ktera nema paket pro spatne cesty domontovat spodni kryt motoru z paketu pro spatne cesty? Vyhodou by mohla byt lepsi aerodynamika pod vozem a mensi spineni motoroveho prostoru, protoze prostor by mel byt vice zakryty, taky by to moznaznemoznilo kunam se tam dostat. Nevite jestli ten zesileny spodni kryt motoru z paketu pro spatne cesty nenitrochu tlustsi a nesnizil bysvetlou vysku? Pripadne jsou myslim v paketu i jine dily, snadna zadni naprave nejake kryty lanovodu, mozna i to by stalo za to dodelat... Pokud by nekdo tuto upravu realizoval a dal sem nejake fotky, postrehy, cisla dilu tak by to bylo super. Dekuji."
3,Jakou rezervu pro maximalni objem kufru,"Ahoj, zjistuji jake rezervni kolo by bylo nejlepsi ve Scale bez vybavy sound systemabych usetril pod kobercem v kufru co nejvic mista, ktere bych mohl vyuzit napr. pro lahev nahradniho oleje, gumicuky, tazne lano, startovaci kabely, skladaci lopatku, dekus naradim atp. Neplnohodnotne koloma sirku 195mm. Napr. na www.dojezdove.czjsem nasel kolo sirky 125mm ktere by tam pasovalo, ale zase nevim jestli bytam nejak rozumne pasoval ten origo polystyrenovy box s naradim. Jeste me napadlo, ze by se tamdalo dat dojezdove kolo ktere se dava s vybavouSound system. Nevite nekdo prosim rozmery toho dojezdoveho kola? Nemel byste nekdo prosim foto dojezdoveho kola s naradim v polystyrenu s demontovanym subwooferem? Predem dekuji za rady."
3,ALU kola z VW nebo SEATU ktere by pasovala na Scalu,"Ahoj, nevite jestli nejake auto VW nebo SEAT ma stejne ET jako Scala? Predpokladam, ze roztec der je v koncernu stejna a treba by se nejake hezke origo kola nasly? Predem dekuji za tipy."
