5,Zadni Roleta - Fabia combi 2,"Mam fabii II taky rocnik 2008. Roleta je v poradku, ale kdyz ji rozroluji, nedrzi a zajede zpatky. Nejspise se bud ulomily nebo vysoupaly nejake ty zachytne koliky. Dival jsem se a dostat se pod ty plasty bude asi pekny opruz :-) Je to jeden cely dil i se strednam krytem zamku apod. Potreboval bych vedet, jak to vypada v originale. Jesou tam zobacky nebo jen nejaky vystupek?"
4,Kde sehnat typovy stitek k taznemu???,"Zdravim,kamos privezl z bouraneho auta tazne.ale neni k nemu typovi list ani stitek.da se to nejak prihlasit???Diky za odpoved..."
1,"Problemy s motorem, nikdo ho nedokazal opravit...","Zdravim, asi pred rokem jsem si koupil felicii 1,6, po prohlidce bylo videt ze motor neni uplne v kondici ale po sleve jsem ji vzal, rikal jsem si ze to budou svicky nebo podobna blbost, bohuzel jsem se tezce mylil. A ted k problemu, motor sebou na volnobeh strasne skube, otacky nekdy drzi na 700 pak spadnou na 300, cele auto se oklepe a vyleti na 1200 a zas spadnou na 700, pri jizde motor skube, hlavne pri zrychlovani, kdyz tomu dam plnej plyn, ale nejhorsi je chcipani na krizovatkach, kdyz dojizdim pred zastavenim treba na dvojku, zmacknu spojku a otacky spadnou tak nizko ze motor chcipne, popojizdeni v kolone je skoro nerealne. Mel jsem ji ve 4 servisech, tyto dily jsou nove: svicky, pal. filtr, rozdelovac, snimac otacek a klepani, kabely od rozdelovace, teplotni cidlo, jine vstriky, lambda sonda, zkousela se jina skrtici klapka, bylo to jeste horsi, zjistili mne ze rozvody jsou preskoceny o 2 zuby, po sundani hlavy se ukazalo ze vacka vydrela na jedne strane ryhy do hlavy, sehnala se jina hlava a vacka, dalo se nove tesneni ale nic, motor se pouze ztisil. urcite jsem neco zapomnel, ale okolo motoru je skoro vse nove. Vsechny ty problemy se deji hlavne po zahrati motoru. Nevedel byste nekdo co by to mohlo byt? Diky za pripadne rady"
4,fabia II styling kit,"je tady nekdo kdo ma styling kit na fabii II ? Ja jsem si koupil loni v cervnu fabii a styling mi delali primo u prodejce. Po pul roce se mi, ale zacal odlepovat predni spojler a dnes uz se mi zacina odlepovat taky difuzer na zadnim narazniku.Chtel bych poprosit nekoho kdo s tim ma skusenosti, jestli se to da opravit, aniz bych to musel cele strhnout, nebo jestli mam sanci uspet pri reklamaci.Za pripadnou radu moc diky"
1,Sviti kontrolka EPC,"Dobry den, potreboval by jsem akutne poradit. Po zapnuti motoru se pookazde ukazuje na displeji kontrolka EPC a porad sviti, autem jsem jel pres 3 hodiny a sviti neprestala. Na inernetu jsem se docetl ze je to zavada v elektronickem rizeni motoru. Nevite nekdo jestli to je vazna zavada,(popr. cim to muze byt) nebo to muze byt jenom kosmeticka vec? Koupil jsem si auto vcera a jsem z toho docela vystrasen. Dekuji moc za radu!!!"
1,"Felicia 1.6 problem zhasina motor, nestartuje","Potreboval bych poradit kam sahnout do feldy protoze uz si nevim rady.Mam feldu 1.6 a v listopadu minuleho roku sem si ji privez a uz po hodine co sem ji mel delala problemy (volnobeh cca po 15 min zacal skakat jak nahoru tak dolu a po 15 minutach chcipla, za jizdy to cukalo a kdyz se vyradilo tak chciplya)a cca po tydnu sem srazil prase. Jelikoz mela novou technickou tak sem se rozhodl ze ji jeste opravim. Vse se opravilo a kdyz uz sem ji daval do kupy tak sem vycistil skrtici klapku a hle ono to fungovalo (asi na tyden)pak zacala delat to samy a praskl pro zmenu klinak tak sem ho vymenil a zase cca 4-5 dni bez problemu a pak zase ty samy problemy tak sem vzal zatezak a novou baterku ta stara co tam byla mela pod zatezi 8.5V a opet asi 5 dni to bylo bez problemu. A pak zase zdechla kdy se ji v podstate zachtelo...pak mi zdechla na krizovatce kdyz sem vyradil a uz nenaskocila takze sem ji odtahl do garaze a uz nevim co dal...jeste me napadlo snimac otacek motoru nebo palivovy filtr. Diky za rady"
6,Vypadavajici repro,"Dobry den omlouvam se jestli se to tu uz resilo ale mam problem s prednimi repro, leva strana hraje velmi potichu ale obcas naskoci do normalni hlasitosti, reproduktory jsem montoval nove pouze basove a taky mam offbrand radio diky za odpovedifabia 1.9 SDI 2003"
6,Canton sound system,"Chci se zeptat jak se vam libi zvuk systemu? Myslim v porovnani se standardnim repro systemem v Supu 2,3 a nebo v Octavii. Diky."
1,Jak se projevuje spatna lambda sonda?,Pani mistri jak se projevuje ze mam spatnou lambda sondu?jak se potom auto chova?a jaka je cena nove LAMBDY?
1,kontrolka motoru - system odvetravani nadrze,"Ahoj, pred casem se mi na Fabii rozsvitila kontrolka motoru, v servisu mi zijstili ze je to system odvetrani nadrze, resetovali to, po par km se to objevilo znovu, pak mi byl vymenen odvetravaci ventil, chvili ok a za chvili nemlich to samy. Pred tydnem mi ventil vymenili znovu a po 200km opet a ta sama chyba. Muj dotaz zni, kde vsude je cidlo generujici tuto chybu? Pouze ve ventilu? Neni jeste nekde treba v tom nasavacim potrubi, ktery by se melo vycistit? Nebo v ty nadrzce s aktivnim uhlim? Vsude mi vymenili jen ventil a ja mam pocit, ze je problem nekde jinde. Prosim pomozte, diky davidPS vim ze to neni zavazna chyba, ale chci auto prodat, takze bych se chtel zbavit toho neustalyho rozsveceni kontrolky"
1,spadla maticka v motoru,"Felicia 1.9D RV1997Spatne mne startovala, vytahl jsem zhavice a jeden je KO, dal jsem ty 3 zpet, pridelam ten medeny pasek a jak na potvoru mi spadla 5tka maticka (pritahuje se sni to proklemovani ke svicce) do motoru u prvniho valce nad altikem, bojim se nejhorsiho ze ji nenajdu co s tim? mohla by tam zapadnout nekde mezi klinak to bylo nadeleni..."
6,Kod k radiu Blaupunkt Trier CC31,nemate nekdo moznost zjistit kod k tomuhle radiu? Je to radio ze stary kamaradovi Felicie a po vymene baterie chce kod...Serial Number :Part Number
5,detska sedacka a ISOFIX,"Koupil jsem det.autosedacku Cosmo SP Isofix GT a potrebuji ji namontovat do F1. ALE,narazil jsem na problem,ze upinaci podkuvky Isofixu jsou velmi ""utopene"" mezisedakem a operakem zadni sedacky a ja tam nemohu zacvaknou Isofixi od sedacky.Resil nekdo tento problem?Diky za radu."
1,tesnici krouzek vyfuku,"Pri vymene predni casti vyfuku s lambda sondou  na Felicii Combi 97 jsem nechal stary tesnici krouzek vyfuku. Ted mi to okolo nej trochu kouri. Je to tak v poradku? Tesnici krouzek je kovovy, takze nemuze podle me nikdy uplne tesnit. Pise se vsak, ze vyfukove potrubi by melo dokonale tesnit. Tak ted nevim. Na kolik se dotahuji srouby s perky, ktere k sobe pritahuji predni a stredni casti vyfuku. Muzete mi prosim nekdo poradit? Dik."
4,Zateka do vnutra dveri kufra.,"Zdravim vas. Potreboval by som poradit lebo uz som zufaly. Zateka mi voda do zadnych dveri kufra. SKODA Fabia 1 hatchback, r. 2004. Po kazdom dazdi ked otvorim kufor tak sa mi vyleje cca 1dl vody z otvorov kde su tie gumene dorazy.Uz som skusil aj silikonom pretesnit okno ci nahodou nieje zle nalepene ale vobec to nepomohlo. Tesnenie na stieraci kde je ten ozubeny hriadel drzi jak slak tak to som vylucil. Takze uz som v koncoch. Nenasiel som nikde uz miesto kde by to tam mohlo zatekat. Nemate nahodou skusenosti s tymto problemom?Dakujem vopred.Edit: video po par hodinach mrholenia"
5,Predelani pristrojove desky na Favorite,Potreboval bych poradit mam favorita r.v. 91 ze starou pristrojovkou ( hnedy interier ) a chci ji vymenit za novejsi model ( cerny interier ) r.v. 93 obe pristrojovky jsou z modelu 1.3 karburator vsechno mi funguje az na ukazatel paliva jeste jednou podotykam ta nova palubovka neni ze strikacky jediny rozdil je v tom ze stary ukazatel je na trech sroubech a novy na ctyrech . NENI NAHODOU ROZDIL V PLOVAKU ?  :help: 
1,"Zvuk z prevodovky, vadne dvojlozisko?","Dnes som nahral zvuk,ktory sa meni po stlaceni a uvolneny spojky.Pravdepodobne ide o dvojlozisko na hnacom a hnanom hriadeli.Tu je link na ktorom je taky isty zvuk,akurat ja som to nahraval dole pri kolese.Na konci videa je vidiet vola hriadelky a jej zvuk pri otacani.Moze niekto potvrdit,kto mal tento problem ze ide o dvojlozisko?Zvuk prevodovky vnutri.mp3Zvuk prevodovky zvonku.mp3"
4,Vymena vlozky zamku dveri - FABIA,Poradi mi prosim nekdo jak vymenit vlozku zamku dveri u Fabie r.v.03? Diky...
1,Chiptuning 1.2TSI,"Sportmotor zacal nabizet  tohoto motoru na 99kW a 225 Nm, co Vy na to? ;-) Az mi dobehne zaruka pristi kveten tak do toho pujdu."
6,priprava pre autoradio,Nemam spravenu pripravu vo favorite pre autoradio. Preto by som potreboval poradit ako na to?
1,Volnobezne otacky Fel. 1.6," Felicia 1.6 MPi 1996 ma na zohriatom motore volnobezne otacky 600 ot/min. Klapka bola prehliadnuta a vycistena v znackovom servise, kedze motor na volnobeh obcas zhasol. Ani po ubehnuti 2000 km sa to nezmenilo. Motor uz nezhasina, ale otacky su na hranici, ked motor zacina byt ""nekludny"" 600/min. Na studeno su otacky 1200 a motor bezi pekne. Motor je zivy, ide svizne do otacok, ma pekny zvuk. Ako dosiahnut volnobeh okolo 800 ot/min. Da sa to vobec?. Dakujem za kazdu radu."
