1,Problem se zarazenim druheho rychlostniho stupne,"Ahojte, mam problem so zaradenim 2, a ak ju zaradim ide ako cez zuby. Neviete mi poradit co s tym?"
1,Pridavny teplomer na mereni chladici kapaliny,"Nedavno se mi prehral cestou do Chorvatska motor a praskla me nadobka. Mam Fabii 2 a ta uz nema klasicky budik teploty, ale ma jen kontrolku. Modre sviti, kdyz je studeny motor a cervene uz je prehraty. Chci se zeptat jestli nema nekdo zkusenosti s pridavnym budikem se sondou abych videl jestli stoupa teplota. Nevim jaky koupit a kam ho u motoru pripojit. Diky za rady a napady."
1,"Motor 1,2 TSI 77 kW a DSG",Ma nekdo s timto typem motoru+ s automatickou prevodovkou zkusenosti?
1,Fabia 2 combi  TDI 1.4 51kw,"Zdravim, chci se zeptat , pedal spojky, je tuzssi na seslapnuti, chapu z toho, ze odchazi spojka ? Mohu se zeptat jak se pohybuji ceny opravy ?"
1,Kour a otacky,"Mam problem se svou Fabii II 1.6 TDI 66kWJde o to, ze jsem to auto pred mesicem koupil a najel s nim pres 1000 km. Od vcerejsiho dne co jsem auto nastartoval, tak zacaly kolisat otacky pri volnobehu a auto se zacalo klepat. (nekdy se to uklidni, ale zase se to vraci treba pri jizde na spojku)Auto pri nizkych otackam trochu skube a to nejhorsi je, ze po zahrati motoru se spusti z vyfuku husty bily kour, ktery strasne smrdi.Jeden mechanik mi rekl, ze to mohou byt vstriky, ale byl bych moc rad, kdyby to tak nebylo."
1,"Rozdil v motorech 1,2 HTP 47KW a 51KW",podle noveho konfiguratoru na strankach Skoda je nahrazen motor 47 KW za 51 KW jaky je mezi nimi rozdil neni to jen uprava ridici jednotky .???
1,Spatne ranni starty,"Ahoj chlapi,pritelkyne mam Fabii 2, 1.2 HTTP 51KW a auto pri rannich startech jede na dva valce a za par sekund se chytne ( viz. video). Kdyz prijede z prace ve 14.00 hodin a nastartuje ho rano v 7, tak se vyse uvedeny problem objevi. Ale kdyz by jela treba v 5 na nakup a nasledne to rano nastartuje v 7, tak se auto nastartuje uplne bez problemu ( nekolikrat overeno). Bylo to v autorizaku, ale nic nenasli. Diagnostika bez zavad, obcas to jen vyhodi chybu na katalyzatoru ( cca za 3 mesice 1x, chyba P0420). Nesetkali jste se nekdo s tim?Diky za kazdou radu :-)"
1,Emisna kontrola,Nepresiel som cez emisnu kontrolu skoda fabia2 1.2 51kw bzg rv 06 2009 136000 km .CO a HC pri volnobehu aj pri zvisenych otackach mimo normu. Podlala noveho zakona su na kazdej stk ci emisnej stanici namontovane dodatocne kamery co vsetko snimaju aj sondu vo vyfuky nevedia to alebo boja sa to oklamat. Olej mi to zere ale neni to kritycke auto tah ma ako bi malo bohatu zmes neviem ale ked stojim za autom tak spodiny drazdia poriadne nos.Co navrhujete aky postup kde zacat s opravou?
1,Spojka??,"Dobry den,prosim o radu: zaclo se mi pri studenem aute ozyvat po nastartovani zvuk podobny nastartovanemu traktoru(myslim rytmicky) a je to trochu hlucnejsi, zni to jako z motoru, ale po seslapnuti spojky zvuk utichne a motor pekne slape. Po zahrati uz se zvuk neozyva ani po dalsim nastartovani. Jinak celkove nejakou zmenu pri razeni a rozjezdech nepocituju.Dekuju za kazdou radu motor BZG 51kW"
1,HTP 51kW piskani/vrzani,"Dobry den,mam Fabii II. combi, motor 1.2 HTP 51kw, r.v.2012, najeto 52 000 km.Vsiml jsem si behem jizdy, ze neco piska v motorovem prostoru.Ted uz vim, ze to piska jen nekdy a kdyz se to projevitakpri zvyseni otacek nad 2500/min. Jakmile otacky snizim pod 2500 hned to prestane.Dela to jenom nepravidelne. Ted jsem ujel treba 20 km a neudelalo to ani jednou.Nema vliv jestli je auto v pohybu, je zarazena rychlost, seslapnuta spojka. Udela to i kdyz stojim na parkovisti na neutral a jen zvysim otacky.Pred 14 dny jsem menil svicky,lambda sondu za katalyzatorem a olejovou vanu i s olejovym cerpadlem.V priloze zasilam kratke video, kdy mi to piska na parkovisti pri zvyseni otacek nad 2500/min.Je to slyset vzdy kdyz zvysim otacky. Je to takove piskani, vrzani.......tezko ten zvuk popsat.Pri zvyseni otacek je tam takovy hluk od motoru, ze se mi nedari identifikovat odkud piskani vychazi.Netusi nekdo, co to muze byt?"
1,HTP 51kW - zavada 16883,"Dobry den,nemate nekdo tuseni, co muze znamenat zavada 16883? (v priloze)Za jizdy se mi rozsvitilakontrolka motoru (gril). Vymenil jsem lambdu 2 za katalyzatorem a chybu smazal.Po cca 200 ujetych km se to rozsvitilo znovu.Auto jede normalne. Nepozoruji nic neobvykleho.Motor 1.2 HTP, 51kW, Fabia II. combi, r.v.2012, najeto cca 52 000 Km"
