1,Klapani motoru,"V 3. 4. 2018 na 8:55, koyota napsal:posledni dobou mi motor dela cosi divneho. Pri studenem startu (pres noc, nebo po nekolika dnech stani) mi obcas motor klape, viz. ... Zni to jako ventily, nebo ze v hydrostelech neni olej...Po cca 5-ti minutach nastartovaneho motoru (minuta na miste, 4 minuty jizdy) zvuk zmizi. Jedna se o 1,6TDI CAYB 66kw. Najeto 95 tis.km. Olej menen vzdy po 15 tis. km. Delalo to i pred vymenou oleje v 90 tis. Jako vadu oleje bych to nevidel, predtim jsem jezdil na Castrol, ted jsem poprve nalil MillerOils Nanodrive. K autu se chovam hezky, nez se zahreje (olej 80 stupnu) jezdim do 2 tis otacek, po dojeti vzdy dochlazuji (necham nejakou minutku motor vydechnout). Jezdim na kvalitni palivo,9 z 10 nadrzi je natankovana Verva Diesel, a ta jedna je Effecta Diesel. Myslel jsem si, ze je to tim, ze olej ""stece"", parkrat jsem zkusil poslednich par km jet uplne na pohodu a pomalicku a po dojeti motor hned zhasnout. Dela to stejne. Nejhorsi je, ze to nedela pokazde.Nevi nekdo, cim by to mohlo byt? Auto bylo v autorizaku na servisce v 90 tis, tam ho podle me davaji na diag. Nic nerikali, zadna kontrolka (motor, olej) nesviti.Diky moc.Mam ten sami problem, nevim cim to muze byt"
2,Podsviceni budiku,"Jezdit o pul devate vecer i v techto letnich dnech jenom na denni sviceni neni moc idealni. Pro me je treba docela obtizny odhadovat rychlost a vzdalenost takhle osvetleneho protijedouciho auta. Jednou me takhle prekvapilo auto ve tme s dennimi, kdyz jsem predjizdel. Blbec jsem si myslel, ze jenom stoji u krajnice a ja v klidu predjedu auto, ze kterym jsem se tahl uz dobrych 5 minut. Jenze ono nestalo... To byla honka se dostat zpatky do sveho pruhu."
1,Vadny EGR ventil,"ja resil poruchu EGR ventilu u 1,6 metodou pokus omyl v servise na zaruku a diagnostika skutecne nic nehlasila"
5,Instalace construct na DSG,Tu mas navody
1,1.5 TSI - skubani pri rozjezdu,"pred 2 minutami, lirap napsal:O.K. diky... Me to pripada, ze je to softwerove nejak priskrcene kvuli emisim, ale to je jen muj lajcky nazor...mas asi pravdu,taky me to tak pripada."
1,Motorovy olej,Ok diky
5,Tlacidlo Rest pri automatickej klime,"Rest som realne skusal 2x, z roho raz po chvilke isiel studeny vzduch tak som to vypol a druhykrat to pekne hrialo asi 10min kym som v aute cakal."
3,rezne vyfuk,Resilo se v rade sekci a padaly terminy jako povrchova koroze apod.
2,Vnitrni stropni osvetleni,Mam tohle stropni svetlo:
4,Zpetna zrcatka,skusal uz niekto montovat elektricky sklapatelne spetne zrkadla na yetiho
1,Spotreba paliva 1.0 TSI,"Zdravim vsechny. Jsem tu novy a vlastnim mesic Rapida 1,0 TSI 81kW 6-ti kvalt. Co se tyka spotreby viz foto."
1,Divny zvuk pri sundani nohy z plynu,"Predchozimu majiteli bych neveril, asi vedel, proc to prodava. Podle videa to jde ze strany rozvodu, tak si je nechzkontrolovat.Sam si muzes zkontrolovat napinak. viz"
1,2.0tdi 110kw vymena rozvodov,"Pokud je na S3 ta pumpa totozna jako na O3 (coz asi ano, kdyz to delalo i na F3 1,4TDI), tak to jeji selhani muze prijit vlastne kdykoli nezavisle na poctu kilometru. Tedy jedina ochrana vymenit za dil dle TPI, ktery tohle jiz nema delat (+ u dieselu BASF kapalina)"
1,DSG 7-  zavada  P17BF,"bolo to uz pred rokom, vymenil som sadu ...akumulatora , kupil som to v PL , oprava pomohla ."
1,Octavia I - volnobeh,Toho muze byt spousta.Jde o to jestli ti to delalo i pred temi zasahy co jsi na motoru udelal.Pokud ne tak jdi po kabelech a znovu po svickach.Me se stalo ze jsem vymenil a hned byla jedna vadna(NGK)Kdyz tak zkus dat stare.Jinak jestli to delalo i pred tim tak zkontroluj veskere podtlakove hadicky jestli nejsou praskle nebo sesmeknute a to vcetne hlavni saci hadice.To nic nestoji a casto je to jadro problemu.Tak zatim.
1,Chip pro 2.0TSI,
4,Na povrchu auta sa drzi voda...,"Dakujem za odpoved, takze predchadzajuci majitel ho nejak extra navosokoval? F3 mam len vyse mesiaca. Bol som s nou aj v samoobsluznej autoumyvarke, je tam aj program voskovanie, ale tak isto som predtym umyval aj F1 a tam sa tak voda nedrzala."
1,Prvni vymena oleje - spatny olej v autorizaku?,"Pokud si myslis, ze udelas motoru bene, kdyz budes menit olej po 5000km, tak co sis objednal, to mas. 502.00 lze pouzivat s pevnym vymennym intervalem."
1,palivovy filtr,"Podle dilenske prirucky je to takto:Kazdych 30 000 km Cistic paliva: vymena (vznetove motory pri provozu na palivo, ktere neodpovida norme DIN EN 590)Kazdych 90 000 km Cistic paliva: vymena (vznetove motory pri provozu na palivo, ktere odpovida norme DIN EN 590)"
5,Vanicka do kufra,"Mate lepsi zkusenosti s gumovou nebo plastovou vanou? Zatim jsem nic takovyho nepouzival, ale rad bych objednal a trochu vaham jestli vanu z odkazu vyse nebo plastouvou tuto:"
1,"DSG radici mapa, 2.0.Tdi 110Kw","Pokud ti to neskube nebo neprokluzuje tak to neres. Oni ti mechanici jsou takovi ""vseznalkove"" a kolikrat neumi spravne vymenit ani ten olej.Nikdy jsem si nevsiml, ze by tam byla mezera. 1 je na rozjezd, prerazuje temer ihned."
1,Cukani/skubani pri akceleraci,"Mne to robi to iste. Ale iba sem tam. Mozno raz za 2-3 mesiace. A to len za studena a zvecsa co som si vsimol to robila len 4ka okolo 1400 ot. Auto 3-4 krat cukne a potom ide v klude dalej.Skusal som to ""nasimulovat"" vselilen ako.... no nic. Neviem co si mam o tom mysliet. Lebo jedine co mam v aute na hrane je zotrvak. Ale ten s tym asi nebude mat nic spolocne. Ale cez leto ho idem menit tak uvidim co to povie."
1,Cukani po startu,"Je to dan ekologistum. Jde o to, ze za urcitych podminek (teplota, cas od posledniho startu, ap.) elektronika motoru cpe do motoru zvysene mnozstvi paliva za ucelem rychleho ohrati katalyzatoru. Nekdy je toho paliva tolik, ze samotny motor ma problemy se s tak bohatou smesi udrzet v chodu a skube sebou a vydava zajimave zvuky.Resilo se to i v sekci FII/Rommster a hlavni tema je v sekciOctavia II - motor - 1.4 TSI, je tam vice k tomu motoru, viz odkaz - prispevek 1564 je tam TPI od Skodovky"
1,Vymena zapalovacich svicek,"To by bylo lepsi tu svicku utahovat na zakryt nejakych znacek. A docela by me zajimalo, jestli kdyz tu svicku nekolikrat pretahnu, jestli to srovnani jiskriste bude jeste fungovat."
1,Spodni hadice vzduchoveho filtru,"Na chod motoru by to nemelo mit vliv, jen ti motor prisaval nefiltrovany vzduch."
3,"Alu 17""","Pavel M: diky, ale tohle vim. Otazka ohledne legislativy byla spise ohledne toho, jestli uz nekdo zazil problemy kvuli kolu, ktere bylo jen o pul palce sirsi a s ET o 8mm jinym.A nejhlavnejsi otazka. Kolo o 1.5cm ven... Bude vylezat nebo bude v blatniku?"
1,"1,4 TSI EA211 92 KW",Zmerali uz niekedy vykon tohto motora na brzde? Zatial som o nom nenasiel nic.
1,Identifikace komponent motoru,Oxidacni katalyzator.
1,Jaky olej do motoru,"Stale jste neupresnil jaky olej se do motoru nalil! Pokud by se jednalo o ten muj typ v odkaze, tak ten splnuje klasifikaci ACEA C3 - DPF to neposkodi, nicmene co se tyce motoru, tam uz si jisty nejsem...S ohledem na hodnotu auta bych doporucoval zainvestovat opet do vymeny a dat spravny olej, pokud toto podelal servis, vymena na jejich naklady..."
3,Vymena tehlic,"Jo jo presne tak, jen musim sehnat jinou rezervu, letni a zimni mam 19"" takze tam zadny problem "
3,Nerovnomerne sjete pneu - jen vnitrni hrany na vsech kolech,"Jses si jisty svym pneumericem ? Pokud jsou sjete spatne vsechny ctyri, nevidim tona chybu na podvozku. Ma zkusenost, co pneumeric to original, nakonec jsem kupovalFLAIG za tisicovku co ma certifikat."
5,Airbag,"To je normalni, ze ma Scala od vyroby vypnuty predni airbag spolujezdce anebo to u meho kousku zapomneli ci se na to vykaslal predprodejni servis ??"
6,Columbus-aktualizace map,"No ja jsem aktualizoval pres PC a SD kartu. Musel jsem odinstalovat stare mapy a nainstalovat nove Evropu. A to mi rikal technik v AS, ze nemusim stare mapy odinstalovat. Nebylo na karte tolik mista, aby tam byli obe verze."
1,Tlacenie vzduchu z nalievacieho otvoru oleja,"Nekde tady na foru, ale myslim v sekci octavek jsem cetl, ze teda kdyz ten vzduch jde trosku, tak je to normalni, jak pise luda, ale pokud to  fici hodne, tak to je pry znamka hodne vylitaneho motoru, plus teda olej by z toho cakat dle meho nazoru nemel, plus zvuky jak Zetor, by to taky delat nemelo. Jinak kdyz jsem mel male kaluzky oleje pod vozem, tak u me to byl zavit u olejove vany, byl strhlej, horsi bylo, ze se musela menit cela vana. "
5,"On Board Camera - vse o kamerach (jakou vybrat, umisteni, zapojeni)",A to si vedl az do zapiku nebo si mel pod palubovkou vyvedenych 12V ? Mne jde abych nemel nic v zapalovaci zdirce pac tam zapojuji jine veci nez ji mit porad obsazenou kamerou.
6,Problem pri prehravani Flask disku," povodny soft v aute sposoboval zamrzanie radia. nasledne vysli aktualizacie a zamrzanie radia odstranili. zial, zacalo zamrzat prehravanie z usb za urcitych okolnosti. bud podrzis vypnutie dlhsie ako 10s, alebo restartnes auto. novsi soft este nie je, co by toto riesil. reklamoval som to sice pol roka dozadu toto zamrzanie, ale co som naposledy dostal info, stale je ten isty soft. mozes im akurat podat reklamaciu s opisom problemu, nech maju spatnu vazbu, lebo ak o tom vediet nebudu, riesit to nezacnu."
6,Infotainment Bolero 8 - vzdaleny pristup,"Volal jsem kvuli tomu na infolinku Skody a bylo mi receno, ze je to mozne objednat pouze pri objednani auta, pozdeji to jiz neni mozne. Nechapu proc, asi nejaka nova politika SA..."
1,Motory TSI od VW trapi spotreba oleje,Zkontroluj si (nebo nech si zkontrolovat) tesnost termostatu. Hurikanovi pres nej unikala na stejnem motoru chladici kapalina.
1,Spatny studeny start 1.6 TDI 66 kW,"zdravim,chci se zeptat jak to startuje ?Ja nic nenasel tak budu muset koupit to rele take."
1,Servisna akcia na vymenu prestavovaca vacky (loziskovej steny),"Ne, v tom dokumentu ze skody je napsano, ze se to bude resit preventivne pri nejblizsi navsteve servisu u vsech podezrelych motoru."
5,Interier sportline,Rozdil muzou byt napr. zadni bocni airbagy.
2,Zarovky,"Ted jsem nasel jen to, ze skodovka dava do mlhovek H8"
1,Spotreba 1.8T 110kw/132kw,"Nikdo podle me nikde netvrdil, ze jezdit na neutral je prezitek. Jsou situace, kdy se je prave jizda na neutral vyhodnejsi, ale casteji bude v provozu vhodnejsi jet prave s rychlosti....Zkus si odpovedet na otazku, kdy a za jakych okolnosti bys chtel radit neutral, a jak daleko s nim potom dojedes."
2,auto sa samo zamkne aj ked su otvorene dvere,"Sice nepomuzu, ale mel jsem to same na Ibize. Zamykala se naprosto nahodile, s klici v zapalovani, s otevrenymi dvermi,... bylo to i ve znackovem servisu, kde vymenili snad vse co s tim mohlo i nemohlo souviset - vysledek takovy, ze jsem jim musel vezt druhe klice, protoze se auto mechanikovi zamklo s klici v zapalovani kdyz chtel vyrazit na zkusebni jizdu a na okamzik vystoupil Nakonec jsem to s priznanou zavadou prodal..."
1,Obecna pravidla pouziti motorovych oleju pro dieselove motory koncernu Volkswagen,"Z toho je jasne, ze pokud mas QG1 nemusis nic delat, jen hlidat interval 15.000 km.Anebo si to dat prekodovat at to hlida RJ.Jinak se stejne doporucuje, teda spis nedoporucuje tech 15.000 striktne dodrzovat a menit olej radeji drivMam taky QG1 a prekodovavat to nebudu, pac chci menit olej drive a na to mne neupozorni ani pevny interval (15.000) QG2.Nakonec je tam i, ze VW 507.00 NEVADI.Zamerne needituju predchozi prispevek, ale pisu rovnou novy abych nekazil tak krasny popis pravidel, kdyz uz jsem se s tim tak s*al.Jo, a tady je zdroj ze ktereho jsem cerpal."
1,1.4 TSI - CAXA 90 kW - Problematicky delsi ranni start,"Cau, nedavno jsem zakoupil auto se stejnym motorem a mam stejny problem. Pomohla vymena pumpy? Nebo neco jineho?"
1,Motor 1.0 TSI,"podla mna ano... tazko povedat ktore vykonove verzie, ale myslim ze vsetky... v clanku najdes"
3,Propada brzdovy pedal - poradte!?," Pepo007, dik to me nenapadlo s tema hadickama, ale po opetovnem napumpovani jde pedal zase dolu.Kotouce i desticky jsou sednute, cca 2000 km.Bylo to v autorizovanem servisu, takze  odvzdusneni by snad melo byt take OK.Proste si uz nevim rady  Tak po nekolikerem slapnuti by to melo drzet, pokud ne tak propousti hlavni brzdovy valec pod pedalem."
1,1.2 TSI 63 kW - Zkusenosti,"Mam 1,2TSI 77kw, najeto 7200km,pr. spotreba na tech 7200km je 5.8L.Slape jak hodinky."
5,nesviti zadni stropni svetlo fabiaII,"Pripojeni k zadnimu svetlu je pokracovani z konektoru predniho. Mohlo by jit o spatne zakrimpovany spoj na nekterem pinu, jestli ti tam to napeti neprichazi. Ale jestli tam napeti mas, tak bude asi chyba v samotnem svetylku, posuvnem spinaci."
2,Predradny odpor ventilatoru,pokud je pridreny ventilator muze pretezovat odporypokud jsi koupil neoriginalni dil tak vetsinou je nizsi kvalita
3,Spodni kryt agregatu,"Dil objednan pres eshop, doruceni k dealerovi, montaz cca 15 minut na pockani. Nutne sundat naraznik. Za praci nic nechteli, zaplatil jsem jen ten dil. Super pristup."
5,Zapach z klimatizace,"Tak ja se pridam, jelikoz mam to same. vymenil jsem pylovy, vzduchovy pred mesicem v domeni, ze se to zlepsi, ale po vypnuti klimy a pusteni normalniho vzduchu z ofuku take zapach. V praci nam delali klimu, je to tam pul roku nove a je to to same, zapach po vypnuti... "
3,Jaka nejvetsi kola na Citigo,"Parada , na to by mohli byt vhodne pneu podla kalkulatora 195/40 R17,ale obavam sa, ze uz to budekostitras"
